#Drug	Gene	label
DB01095	P16662	1
DB02452	P00973	0
DB05037	P06493	1
DB00502	O60656	1
DB00197	P22309	1
DB01107	P18507	1
DB07617	O43293	0
DB04825	P21918	0
DB06155	P26010	0
DB07689	P0CG22	1
DB07157	P15086	1
DB01890	P17213	0
DB07848	P00742	1
DB06589	Q08881	1
DB08453	P31930	1
DB02180	O60551	1
DB05157	P11802	0
DB00880	P30556	0
DB01136	P15692	1
DB00201	P11712	1
DB01254	P06239	1
DB07267	P59998	0
DB06292	P04798	1
DB08689	P21912	1
DB01919	P28329	0
DB04639	P01857	1
DB02887	Q9BZX2	0
DB07322	P47869	0
DB00147	P59796	0
DB01181	P10632	1
DB05343	P20339	0
DB03918	Q9P2R7	0
DB01571	P41143	1
DB03484	O00187	0
DB00748	P10696	0
DB02812	P07477	1
DB00925	P25100	1
DB07430	P00374	0
DB00786	Q9NPA2	1
DB04566	Q9NSD5	0
DB02337	Q93088	1
DB00851	P10275	0
DB04688	P01834	1
DB08047	P03372	1
DB00162	P09455	1
DB04268	P61626	1
DB01103	P50135	1
DB00145	P13196	1
DB01559	Q99928	1
DB01756	P49247	1
DB00476	Q01959	1
DB05449	Q9UGM1	0
DB06832	Q92731	1
DB00072	P02747	1
DB07598	Q03431	0
DB07016	P07195	0
DB00078	P02747	1
DB03137	Q9UQQ2	0
DB04207	P07225	0
DB07140	P00374	1
DB00777	P25100	1
DB07095	P07477	1
DB00086	P25116	1
DB05408	P46721	0
DB03374	Q13332	0
DB02067	P16662	0
DB07206	P28066	0
DB08811	O75600	0
DB04324	Q92930	0
DB07233	P08865	0
DB00574	P28335	1
DB00401	P08684	1
DB00030	P08069	1
DB00344	P49585	0
DB04186	P11712	0
DB01807	P07360	0
DB00763	P05181	1
DB01196	P08684	1
DB00203	O76074	1
DB01819	P23786	0
DB01809	P08631	1
DB06674	P04271	0
DB05892	Q9UBN7	0
DB06838	P00734	1
DB03984	Q9Y257	0
DB03380	Q05586	0
DB08126	P24941	1
DB01200	P08908	1
DB03719	P14625	1
DB05029	P41145	0
DB00157	P37058	1
DB02977	Q9BZX2	0
DB03959	P35346	0
DB04440	P05089	0
DB05194	P04141	1
DB00715	P08912	1
DB01213	P00326	1
DB00723	P49902	0
DB00279	O00519	0
DB02315	O00408	1
DB04563	P15085	0
DB05758	Q15418	0
DB03384	Q86YB8	0
DB04470	P00374	0
DB03133	P11217	1
DB01549	Q8TCU5	1
DB01143	P05186	1
DB09054	P61769	0
DB07458	P19021	0
DB00602	Q7Z4J2	0
DB00396	P08887	0
DB01831	P23381	1
DB08133	P24941	1
DB04281	Q16760	0
DB01215	P08684	1
DB01466	P35372	1
DB02932	P10275	1
DB00916	Q16850	1
DB00896	P01595	0
DB00872	P08519	0
DB00659	Q8N1C3	1
DB01861	Q14376	1
DB07151	P56556	0
DB00513	P23763	0
DB00472	P20813	1
DB08651	P28331	0
DB00659	O15399	1
DB08694	P24941	1
DB08770	P29274	1
DB06987	P02788	1
DB01622	P14555	0
DB07234	P00488	0
DB06986	P11217	1
DB07374	P62913	1
DB08907	P13866	1
DB06216	P35367	1
DB00157	O43676	1
DB07368	Q9Y275	0
DB03195	P23919	1
DB08560	P61073	0
DB00353	Q16831	0
DB03468	P49773	0
DB02616	Q99808	0
DB01101	P14061	0
DB06957	P07900	1
DB03393	P62937	1
DB01359	P08908	1
DB03847	P02818	1
DB00548	P30536	0
DB00313	P80404	1
DB00945	P25101	1
DB05260	P21281	1
DB00332	P11229	1
DB09272	P41143	1
DB07657	Q16836	0
DB04560	P35372	0
DB00624	P10632	1
DB04556	Q9P2R7	0
DB00046	Q8NER1	0
DB07086	P03372	1
DB06920	Q10588	0
DB00338	P05177	1
DB06986	P06870	0
DB01321	Q9NS75	0
